LinkedIn_Link,Status_Connect,Message,Status Message
https://www.linkedin.com/in/liam-cheung-a621853/,Pending,hi,Message not sent
https://www.linkedin.com/in/amineelkaouachi/,Pending,hi,Message not sent
https://www.linkedin.com/in/allan-cho-80237628/,Pending,hi,Message not sent
https://www.linkedin.com/in/steve-clark-yyc/,Connected,hi,Message sent
https://www.linkedin.com/in/ethanmkline/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/sam-pellettieri/,Pending,hi,Message not sent
https://www.linkedin.com/in/sylvainracine/,Connected,hi,Message not sent
https://www.linkedin.com/in/maryannepalangio/,Pending,hi,Message not sent
https://www.linkedin.com/in/dowdjamie/,Pending,hi,Message not sent
https://www.linkedin.com/in/daniel-s-kenny/,Pending,hi,Message not sent
https://www.linkedin.com/in/paul-mckenzie-82b6797/,Pending,hi,Message not sent
https://www.linkedin.com/in/katharine-poulter-1a209816/,Pending,hi,Message not sent
https://www.linkedin.com/in/darrylvleeming/,Pending,hi,Message not sent
https://www.linkedin.com/in/djmayers/,Pending,hi,Message not sent
https://www.linkedin.com/in/cameron-kupper-6172551/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/chris-ram-22814241/,Pending,hi,Message not sent
https://www.linkedin.com/in/david-burrows-a7141216/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/maya-kanaan-msc-in-banking-and-int-l-finance-73220411/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/hellokatieko/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/ian-mcneill-ingenihealth/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/alfl/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/mikaellago/,Not Connected,hi,Message not sent
https://www.linkedin.com/in/raymond-xie-12196611b/,Not Connected,hi,Message not sent
